セキュリティ,1285,1285,3000,名詞,一般,*,*,*,*,セキュリティ,セキュリティ,セキュリティ
ワーク,1285,1285,3000,名詞,一般,*,*,*,*,ワーク,ワーク,ワーク
バランス,1285,1285,3000,名詞,一般,*,*,*,*,バランス,バランス,バランス
ヘッダー,1285,1285,4000,名詞,一般,*,*,*,*,ヘッダー,ヘッダー,ヘッダー
フッター,1285,1285,4000,名詞,一般,*,*,*,*,フッター,フッター,フッター
コロナ,1285,1285,2900,名詞,一般,*,*,*,*,コロナ,コロナ,コロナ
ウイルス,1285,1285,2900,名詞,一般,*,*,*,*,ウイルス,ウイルス,ウイルス
ワクチン,1285,1285,2900,名詞,一般,*,*,*,*,ワクチン,ワクチン,ワクチン
キャンプ,1283,1283,6000,名詞,サ変接続,*,*,*,*,キャンプ,キャンプ,キャンプ
マイ,560,560,6000,接頭詞,名詞接続,*,*,*,*,マイ,マイ,マイ
ナンバー,1285,1285,2391,名詞,一般,*,*,*,*,ナンバー,ナンバー,ナンバー
カード,1285,1285,3000,名詞,一般,*,*,*,*,カード,カード,カード
ソーシャル,1285,1285,3000,名詞,一般,*,*,*,*,ソーシャル,ソーシャル,ソーシャル
メディア,1285,1285,3000,名詞,一般,*,*,*,*,メディア,メディア,メディア
ポリシー,1285,1285,3000,名詞,一般,*,*,*,*,ポリシー,ポリシー,ポリシー
メンタル,1287,1287,4000,名詞,形容動詞語幹,*,*,*,*,メンタル,メンタル,メンタル
ヘルス,1285,1285,3708,名詞,一般,*,*,*,*,ヘルス,ヘルス,ヘルス
一般,1285,1285,3887,名詞,一般,*,*,*,*,一般,イッパン,イッパン
会計,1283,1283,3310,名詞,サ変接続,*,*,*,*,会計,カイケイ,カイケイ
正味,1285,1285,5452,名詞,一般,*,*,*,*,正味,ショウミ,ショーミ
財産,1285,1285,5506,名詞,一般,*,*,*,*,財産,ザイサン,ザイサン
増減,1283,1283,4495,名詞,サ変接続,*,*,*,*,増減,ゾウゲン,ゾーゲン
計算,1283,1283,2899,名詞,サ変接続,*,*,*,*,計算,ケイサン,ケイサン
書,1298,1298,9499,名詞,接尾,一般,*,*,*,書,ショ,ショ
